code,ticker,reason
2038,2038.TW,download_failed
2049,2049.TW,download_failed
2059,2059.TW,download_failed
2062,2062.TW,download_failed
2069,2069.TW,download_failed
2072,2072.TW,download_failed
2101,2101.TW,download_failed
2102,2102.TW,download_failed
2103,2103.TW,download_failed
2104,2104.TW,download_failed
2105,2105.TW,download_failed
2106,2106.TW,download_failed
2107,2107.TW,download_failed
2108,2108.TW,download_failed
2109,2109.TW,download_failed
2114,2114.TW,download_failed
2115,2115.TW,download_failed
2201,2201.TW,download_failed
2204,2204.TW,download_failed
2206,2206.TW,download_failed
2207,2207.TW,download_failed
2208,2208.TW,download_failed
2211,2211.TW,download_failed
2227,2227.TW,download_failed
2228,2228.TW,download_failed
2231,2231.TW,download_failed
2233,2233.TW,download_failed
2236,2236.TW,download_failed
2239,2239.TW,download_failed
2241,2241.TW,download_failed
2243,2243.TW,download_failed
2247,2247.TW,download_failed
2248,2248.TW,download_failed
2250,2250.TW,download_failed
2301,2301.TW,download_failed
2302,2302.TW,download_failed
2303,2303.TW,download_failed
2305,2305.TW,download_failed
2308,2308.TW,download_failed
2312,2312.TW,download_failed
2313,2313.TW,download_failed
2314,2314.TW,download_failed
2316,2316.TW,download_failed
2317,2317.TW,download_failed
2321,2321.TW,download_failed
2323,2323.TW,download_failed
2324,2324.TW,download_failed
2327,2327.TW,download_failed
2328,2328.TW,download_failed
2329,2329.TW,download_failed
2330,2330.TW,download_failed
2331,2331.TW,download_failed
2332,2332.TW,download_failed
2337,2337.TW,download_failed
2338,2338.TW,download_failed
2340,2340.TW,download_failed
2342,2342.TW,download_failed
2344,2344.TW,download_failed
2345,2345.TW,download_failed
2347,2347.TW,download_failed
2348,2348.TW,download_failed
2349,2349.TW,download_failed
2351,2351.TW,download_failed
2352,2352.TW,download_failed
2353,2353.TW,download_failed
2354,2354.TW,download_failed
2355,2355.TW,download_failed
2356,2356.TW,download_failed
2357,2357.TW,download_failed
2359,2359.TW,download_failed
2360,2360.TW,download_failed
2362,2362.TW,download_failed
2363,2363.TW,download_failed
2364,2364.TW,download_failed
2365,2365.TW,download_failed
2367,2367.TW,download_failed
2368,2368.TW,download_failed
2369,2369.TW,download_failed
2371,2371.TW,download_failed
2373,2373.TW,download_failed
2374,2374.TW,download_failed
2375,2375.TW,download_failed
2376,2376.TW,download_failed
2377,2377.TW,download_failed
2379,2379.TW,download_failed
2380,2380.TW,download_failed
2382,2382.TW,download_failed
2383,2383.TW,download_failed
2385,2385.TW,download_failed
2387,2387.TW,download_failed
2388,2388.TW,download_failed
2390,2390.TW,download_failed
2392,2392.TW,download_failed
2393,2393.TW,download_failed
2395,2395.TW,download_failed
2397,2397.TW,download_failed
2399,2399.TW,download_failed
2401,2401.TW,download_failed
2402,2402.TW,download_failed
2404,2404.TW,download_failed
2405,2405.TW,download_failed
2406,2406.TW,download_failed
2408,2408.TW,download_failed
2409,2409.TW,download_failed
2412,2412.TW,download_failed
2413,2413.TW,download_failed
2414,2414.TW,download_failed
2415,2415.TW,download_failed
2417,2417.TW,download_failed
2419,2419.TW,download_failed
2420,2420.TW,download_failed
2421,2421.TW,download_failed
2423,2423.TW,download_failed
2424,2424.TW,download_failed
2425,2425.TW,download_failed
2426,2426.TW,download_failed
2427,2427.TW,download_failed
2428,2428.TW,download_failed
2429,2429.TW,download_failed
2430,2430.TW,download_failed
2431,2431.TW,download_failed
2433,2433.TW,download_failed
2434,2434.TW,download_failed
2436,2436.TW,download_failed
2438,2438.TW,download_failed
2439,2439.TW,download_failed
2440,2440.TW,download_failed
2441,2441.TW,download_failed
2442,2442.TW,download_failed
2444,2444.TW,download_failed
2449,2449.TW,download_failed
2450,2450.TW,download_failed
2451,2451.TW,download_failed
2453,2453.TW,download_failed
2454,2454.TW,download_failed
2455,2455.TW,download_failed
2457,2457.TW,download_failed
2458,2458.TW,download_failed
2459,2459.TW,download_failed
2460,2460.TW,download_failed
2461,2461.TW,download_failed
2462,2462.TW,download_failed
2464,2464.TW,download_failed
2465,2465.TW,download_failed
2466,2466.TW,download_failed
2467,2467.TW,download_failed
2468,2468.TW,download_failed
2471,2471.TW,download_failed
