code,name,market,industry,ticker
1590,亞德客-KY,TWSE,Other,1590.TW
1597,直得,TWSE,Other,1597.TW
1598,岱宇,TWSE,Other,1598.TW
1603,華電,TWSE,電器電纜,1603.TW
1604,聲寶,TWSE,電器電纜,1604.TW
1605,華新,TWSE,電器電纜,1605.TW
1608,華榮,TWSE,電器電纜,1608.TW
1609,大亞,TWSE,電器電纜,1609.TW
1611,中電,TWSE,電器電纜,1611.TW
1612,宏泰,TWSE,電器電纜,1612.TW
1614,三洋電,TWSE,電器電纜,1614.TW
1615,大山,TWSE,電器電纜,1615.TW
1616,億泰,TWSE,電器電纜,1616.TW
1617,榮星,TWSE,電器電纜,1617.TW
1618,合機,TWSE,電器電纜,1618.TW
1623,大東電,TWSE,電器電纜,1623.TW
1626,艾美特-KY,TWSE,電器電纜,1626.TW
1702,南僑,TWSE,Other,1702.TW
1707,葡萄王,TWSE,Other,1707.TW
1708,東鹼,TWSE,化學工業,1708.TW
1709,和益,TWSE,化學工業,1709.TW
1710,東聯,TWSE,化學工業,1710.TW
1711,永光,TWSE,化學工業,1711.TW
1712,興農,TWSE,化學工業,1712.TW
1713,國化,TWSE,化學工業,1713.TW
1714,和桐,TWSE,化學工業,1714.TW
1717,長興,TWSE,化學工業,1717.TW
1718,中纖,TWSE,化學工業,1718.TW
1720,生達,TWSE,Other,1720.TW
1721,三晃,TWSE,化學工業,1721.TW
1722,台肥,TWSE,化學工業,1722.TW
1723,中碳,TWSE,化學工業,1723.TW
1725,元禎,TWSE,化學工業,1725.TW
1726,永記,TWSE,化學工業,1726.TW
1727,中華化,TWSE,化學工業,1727.TW
1730,花仙子,TWSE,化學工業,1730.TW
1731,美吾華,TWSE,Other,1731.TW
1732,毛寶,TWSE,化學工業,1732.TW
1733,五鼎,TWSE,Other,1733.TW
1734,杏輝,TWSE,Other,1734.TW
1735,日勝化,TWSE,化學工業,1735.TW
1736,喬山,TWSE,Other,1736.TW
1737,臺鹽,TWSE,Other,1737.TW
1752,南光,TWSE,Other,1752.TW
1760,寶齡富錦,TWSE,Other,1760.TW
1762,中化生,TWSE,Other,1762.TW
1773,勝一,TWSE,化學工業,1773.TW
1776,展宇,TWSE,化學工業,1776.TW
1783,和康生,TWSE,Other,1783.TW
1786,科妍,TWSE,Other,1786.TW
1789,神隆,TWSE,Other,1789.TW
1795,美時,TWSE,Other,1795.TW
1802,台玻,TWSE,玻璃陶瓷,1802.TW
1805,寶徠,TWSE,建材營造業,1805.TW
1806,冠軍,TWSE,玻璃陶瓷,1806.TW
1808,潤隆,TWSE,建材營造業,1808.TW
1809,中釉,TWSE,玻璃陶瓷,1809.TW
1810,和成,TWSE,玻璃陶瓷,1810.TW
1817,凱撒衛,TWSE,玻璃陶瓷,1817.TW
1903,士紙,TWSE,造紙工業,1903.TW
1904,正隆,TWSE,造紙工業,1904.TW
1905,華紙,TWSE,造紙工業,1905.TW
1906,寶隆,TWSE,造紙工業,1906.TW
1907,永豐餘,TWSE,造紙工業,1907.TW
1909,榮成,TWSE,造紙工業,1909.TW
2002,中鋼,TWSE,Other,2002.TW
2006,東和鋼鐵,TWSE,Other,2006.TW
2007,燁興,TWSE,Other,2007.TW
2008,高興昌,TWSE,Other,2008.TW
2009,第一銅,TWSE,Other,2009.TW
2010,春源,TWSE,Other,2010.TW
2012,春雨,TWSE,Other,2012.TW
2013,中鋼構,TWSE,Other,2013.TW
